,State,avg_temp_F,prcp_in,days_snowed,in_snow,abbreviation,homelss_pop_2007,homeless_pop_2016,population_2016,population 2007
0,Alabama,62.8,58.3,0.8,1.6,AL,5452.0,4111.0,4863300.0,4780127.0
1,Alaska,26.6,22.5,48.0,74.5,AK,1642.0,1940.0,741894.0,710249.0
2,Arizona,60.3,13.6,0.3,0.3,AZ,14646.0,9707.0,6931071.0,6392307.0
3,Arkansas,60.4,50.6,3.8,5.2,AR,3836.0,2463.0,2988248.0,2915958.0
4,California,59.4,22.2,0.0,0.0,CA,138986.0,118142.0,39250017.0,37254503.0
5,Colorado,45.1,15.9,19.1,19.1,CO,14225.0,10550.0,5540545.0,5029324.0
6,Connecticut,49.0,50.3,20.1,40.5,CT,4482.0,3902.0,3576452.0,3574118.0
7,Delaware,55.3,45.7,11.8,20.2,DE,1061.0,1070.0,681170.0,601767.0
8,Florida,70.7,54.5,0.0,0.0,FL,48069.0,33559.0,20612439.0,18804623.0
9,Georgia,63.5,50.7,0.7,0.7,GA,19639.0,12909.0,10310371.0,9688681.0
10,Hawaii,70.0,63.7,0.0,0.0,HI,6070.0,7921.0,1428557.0,1360301.0
11,Idaho,44.4,18.9,19.4,19.2,ID,1749.0,2247.0,1683140.0,1567652.0
12,Illinois,51.8,39.2,19.9,24.6,IL,15487.0,11590.0,12801539.0,12831549.0
13,Indiana,51.7,41.7,23.5,25.9,IN,7358.0,5798.0,6633053.0,6484229.0
14,Iowa,47.8,34.0,26.2,34.9,IA,2734.0,3064.0,3134693.0,3046869.0
15,Kansas,54.3,28.9,10.0,14.7,KS,1924.0,2008.0,2907289.0,2853132.0
16,Kentucky,55.6,48.9,11.8,12.5,KY,8061.0,4237.0,4436974.0,4339349.0
17,Louisiana,66.4,60.1,0.1,0.0,LA,5494.0,3994.0,4681666.0,4533479.0
18,Maine,41.0,42.2,27.8,61.8,ME,2638.0,2241.0,1331479.0,1328361.0
19,Maryland,54.2,44.5,9.6,20.2,MD,9628.0,7689.0,6016447.0,5773785.0
20,Massachusetts,47.9,47.7,22.4,43.8,MA,15127.0,19608.0,6811779.0,6547817.0
21,Michigan,44.4,32.8,44.7,51.1,MI,28295.0,9316.0,9928300.0,9884129.0
22,Minnesota,41.2,27.3,37.3,54.0,MN,7323.0,7341.0,5519952.0,5303925.0
23,Mississippi,63.4,59.0,0.6,0.9,MS,1377.0,1738.0,2988726.0,2968103.0
24,Missouri,54.5,42.2,11.5,17.0,MO,6434.0,6441.0,6093000.0,5988927.0
25,Montana,42.7,15.3,32.9,38.1,MT,1150.0,1418.0,1042520.0,989417.0
26,Nebraska,48.8,23.6,18.3,25.9,NE,3531.0,2754.0,1907116.0,1826341.0
27,Nevada,49.9,9.5,16.3,21.8,NV,8642.0,7398.0,2940058.0,2700691.0
28,New Hampshire,43.8,43.4,29.8,60.8,NH,2248.0,1366.0,1334795.0,1316466.0
29,New Jersey,52.7,47.1,8.7,16.5,NJ,17314.0,8895.0,8944469.0,8791936.0
30,New Mexico,53.4,14.6,9.5,9.6,NM,3015.0,2263.0,2081015.0,2059192.0
31,New York,45.4,41.8,66.4,123.8,NY,62601.0,86352.0,19745289.0,19378087.0
32,North Carolina,59.0,50.3,3.9,7.6,NC,11802.0,9559.0,10146788.0,9535692.0
33,North Dakota,40.4,17.8,45.2,51.2,ND,636.0,923.0,757952.0,672591.0
34,Ohio,50.7,39.1,30.4,27.5,OH,11264.0,10404.0,11614373.0,11536725.0
35,Oklahoma,59.6,36.5,5.6,7.8,OK,4221.0,4107.0,3923561.0,3751616.0
36,Oregon,48.4,27.4,2.2,3.0,OR,17590.0,13238.0,4093465.0,3831073.0
37,Pennsylvania,48.8,42.9,19.4,28.2,PA,16220.0,15339.0,12784227.0,12702887.0
38,Rhode Island,50.1,47.9,18.7,33.8,RI,1372.0,1160.0,1056426.0,1052931.0
39,South Carolina,62.4,49.8,0.3,0.5,SC,5660.0,5051.0,4961119.0,4625401.0
40,South Dakota,45.2,20.1,30.1,43.9,SD,579.0,1072.0,865454.0,814191.0
41,Tennessee,57.6,54.2,6.2,6.3,TN,11210.0,8779.0,6651194.0,6346275.0
42,Texas,64.8,28.9,1.3,1.5,TX,39788.0,23122.0,27862596.0,25146105.0
43,Utah,48.6,12.2,34.8,56.2,UT,3011.0,2807.0,3051217.0,2763888.0
44,Vermont,42.9,42.7,54.4,81.2,VT,1035.0,1117.0,624594.0,625745.0
45,Virginia,55.1,44.3,6.1,10.3,VA,9746.0,6268.0,8411808.0,8001045.0
46,Washington,48.3,38.4,3.0,5.0,WA,23379.0,20827.0,7288000.0,6724543.0
47,West Virginia,51.8,45.2,37.7,62.0,WV,2409.0,1387.0,5778708.0,5687289.0
48,Wisconsin,43.1,32.6,38.7,50.9,WI,5648.0,5685.0,1831102.0,1853011.0
49,Wyoming,42.0,12.9,36.7,91.4,WY,537.0,857.0,585501.0,563767.0
50,,,,,,,5320.0,8350.0,952065.0,897936.0
51,,,,,,,,,,
